municipio,confirmados,obitos
ACARI,787,12
AÇU,4346,120
AFONSO BEZERRA,427,12
ÁGUA NOVA,204,2
ALEXANDRIA,1025,13
ALMINO AFONSO,349,10
ALTO DO RODRIGUES,1374,26
ANGICOS,575,14
ANTÔNIO MARTINS,343,3
APODI,4545,63
AREIA BRANCA,1873,78
ARÊS,711,20
AUGUSTO SEVERO (CAMPO GRANDE),343,6
BAÍA FORMOSA,306,8
BARAÚNA,789,20
BARCELONA,53,3
BENTO FERNANDES,93,2
BODÓ,95,0
BOM JESUS,600,12
BREJINHO,844,8
CAIÇARA DO NORTE,289,9
CAIÇARA DO RIO DO VENTO,207,7
CAICÓ,8758,106
CAMPO REDONDO,521,10
CANGUARETAMA,894,24
CARAÚBAS,1920,32
CARNAÚBA DOS DANTAS,506,6
CARNAUBAIS,539,8
CEARÁ-MIRIM,2068,91
CERRO CORÁ,262,5
CORONEL EZEQUIEL,207,3
CORONEL JOÃO PESSOA,238,5
CRUZETA,1276,10
CURRAIS NOVOS,2539,53
DOUTOR SEVERIANO,480,14
ENCANTO,483,14
EQUADOR,163,1
ESPÍRITO SANTO,351,9
EXTREMOZ,2412,51
FELIPE GUERRA,745,13
FERNANDO PEDROZA,295,2
FLORÂNIA,959,12
FRANCISCO DANTAS,167,1
FRUTUOSO GOMES,350,3
GALINHOS,271,0
GOIANINHA,1677,27
GOVERNADOR DIX-SEPT ROSADO,858,15
GROSSOS,741,11
GUAMARÉ,1282,43
IELMO MARINHO,256,6
IPANGUAÇU,621,18
IPUEIRA,180,2
ITAJÁ,411,5
ITAÚ,153,8
JAÇANÃ,647,4
JANDAÍRA,525,3
JANDUÍS,390,5
JANUÁRIO CICCO (BOA SAÚDE),152,6
JAPI,132,1
JARDIM DE ANGICOS,93,1
JARDIM DE PIRANHAS,1354,29
JARDIM DO SERIDÓ,1298,19
JOÃO CÂMARA,2061,39
JOÃO DIAS,130,1
JOSÉ DA PENHA,300,4
JUCURUTU,1879,33
JUNDIÁ,457,6
LAGOA D'ANTA,224,6
LAGOA DE PEDRAS,148,10
LAGOA DE VELHOS,168,5
LAGOA NOVA,537,10
LAGOA SALGADA,290,6
LAJES,557,6
LAJES PINTADAS,278,6
LUCRÉCIA,327,0
LUÍS GOMES,403,5
MACAÍBA,3369,130
MACAU,913,32
MAJOR SALES,171,7
MARCELINO VIEIRA,546,11
MARTINS,223,1
MAXARANGUAPE,362,6
MESSIAS TARGINO,343,6
MONTANHAS,357,9
MONTE ALEGRE,787,6
MONTE DAS GAMELEIRAS,140,1
MOSSORÓ,18228,428
NATAL,59175,2112
NÍSIA FLORESTA,1503,29
NOVA CRUZ,986,41
OLHO-D'ÁGUA DO BORGES,568,4
OURO BRANCO,353,4
PARANÁ,376,2
PARAÚ,462,9
PARAZINHO,306,7
PARELHAS,1195,19
PARNAMIRIM,21203,397
PASSA E FICA,807,2
PASSAGEM,161,2
PATU,1271,23
PAU DOS FERROS,2788,13
PEDRA GRANDE,217,3
PEDRA PRETA,101,0
PEDRO AVELINO,211,4
PEDRO VELHO,442,6
PENDÊNCIAS,758,24
PILÕES,246,3
POÇO BRANCO,498,12
PORTALEGRE,364,9
PORTO DO MANGUE,263,6
PUREZA,334,11
RAFAEL FERNANDES,316,2
RAFAEL GODEIRO,371,1
RIACHO DA CRUZ,218,6
RIACHO DE SANTANA,134,0
RIACHUELO,500,12
RIO DO FOGO,216,9
RODOLFO FERNANDES,294,8
RUY BARBOSA,105,1
SANTA CRUZ,2873,51
SANTA MARIA,290,13
SANTANA DO MATOS,359,9
SANTANA DO SERIDÓ,160,0
SANTO ANTÔNIO,1245,37
SÃO BENTO DO NORTE,171,2
SÃO BENTO DO TRAIRÍ,125,3
SÃO FERNANDO,260,5
SÃO FRANCISCO DO OESTE,280,4
SÃO GONÇALO DO AMARANTE,6224,177
SÃO JOÃO DO SABUGI,427,6
SÃO JOSÉ DE MIPIBU,2971,43
SÃO JOSÉ DO CAMPESTRE,702,23
SÃO JOSÉ DO SERIDÓ,402,0
SÃO MIGUEL,1717,22
SÃO MIGUEL DO GOSTOSO,387,14
SÃO PAULO DO POTENGI,755,34
SÃO PEDRO,306,6
SÃO RAFAEL,501,11
SÃO TOMÉ,765,17
SÃO VICENTE,511,2
SENADOR ELÓI DE SOUZA,152,3
SENADOR GEORGINO AVELINO,132,4
SERRA CAIADA,366,7
SERRA DE SÃO BENTO,151,3
SERRA DO MEL,354,14
SERRA NEGRA DO NORTE,682,10
SERRINHA,289,5
SERRINHA DOS PINTOS,410,2
SEVERIANO MELO,332,9
SÍTIO NOVO,126,6
TABOLEIRO GRANDE,139,5
TAIPU,443,12
TANGARÁ,340,9
TENENTE ANANIAS,764,17
TENENTE LAURENTINO CRUZ,498,3
TIBAU,468,9
TIBAU DO SUL,1361,10
TIMBAÚBA DOS BATISTAS,243,2
TOUROS,806,27
TRIUNFO POTIGUAR,184,2
UMARIZAL,775,16
UPANEMA,781,13
VÁRZEA,256,9
VENHA-VER,89,4
VERA CRUZ,469,11
